Number,Spokesperson,Spokesperson.Attitude,Country,Knowledge.SD,Age.Group,Gender,Employment,City.size1,FAC.SCFM,Message.Sharing,Suport.SD,Current.Practice.SD,Future.Practice.SD,Num.Measures.SD,Age,Education,Household.Size,Settlement.Size,Concern.Situation,Concern.Others,Others.SD,Movement,Infection.percent,Subjective.Health,Satisfaction.Government,PH.vs.Economy,Religiosity,Q6.Self.Isolation,Q6.Quarantine.Zones,Q6.Closing.Borders,Q6.Meeting.Friends,Q6.Physical.Distance,Q6.Closing.Businesses,Q6.Public.Transportation,Q6.Canceling.Events,Q6.No.Workplace,Q6.Self.Isolation1,Q6.Quarantine.Zones1,Q6.Closing.Borders1,Q6.Meeting.Friends1,Q6.Physical.Distance1,Q6.Closing.Businesses1,Q6.Public.Transportation1,Q6.Canceling.Events1,Q6.No.Workplace1
1,Hanks,Like,US,Yes,Mid-Age,Female,Employed,City,0.091,7,7,6,6,7,37,2,2,4,7,7,4,7,2,4,2,1,5,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,1,0,1,1,1,1,0,1,1
2,Hanks,Like,US,Yes,Old,Female,Employed,City,0.933,3,7,7,7,9,64,3,1,4,7,7,3,1,2,3,1,1,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
3,Hanks,Like,US,Yes,Young,Female,Employed,City,0.933,7,7,7,7,9,28,3,2,4,7,7,3,1,2,3,1,1,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
4,Hanks,Neutral,US,Yes,Young,Male,Employed,City,-1.683,1,5,4,4,7,27,4,4,4,6,7,2,7,3,4,1,1,7,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,1,1,1,0,1,1,1,1,0
5,Hanks,Like,US,Yes,Mid-Age,Female,Self-employed,City,0.592,7,7,7,7,6,39,3,8,4,7,7,4,1,6,2,3,2,7,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,1,0,1,1,1,1,0,1,0
6,Hanks,Like,US,No,Young,Male,Employed,City,-0.126,7,7,4,7,8,21,2,3,4,7,7,1,1,1,3,1,1,1,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,1,1,1,1,1,1,1,1
7,Hanks,Like,US,Yes,Young,Male,Employed,City,0.933,3,7,7,7,9,29,4,2,4,6,7,4,1,3,4,1,1,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
8,Hanks,NA,US,Yes,Young,Female,Employed,City,0.319,4,7,6,6,9,31,4,4,4,6,7,3,7,1,5,4,3,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
9,Hanks,Neutral,US,Yes,Young,Male,Student,City,-0.567,7,5,6,6,6,25,4,5,4,7,7,3,1,1,5,4,6,6,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,1,1,1,0,1,0,1,1,0
10,Hanks,Like,US,Yes,Young,Female,Employed,City,0.706,6,7,7,7,7,23,2,2,4,5,6,4,1,1,4,3,5,7,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,1,0,1,1,1,1,0,1,1
11,Hanks,Like,US,Yes,Young,Female,Unemployed,City,-0.224,1,7,5,6,7,25,3,5,4,5,6,4,7,1,5,3,1,1,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,1,0,1,0,1,1,1,1,1
12,Hanks,Like,US,Yes,Old,Male,Retired,City,0.277,7,7,6,7,6,65,6,1,4,6,7,5,5,1,4,2,1,6,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,1,0,0,1,1,1,0,1,1
